family,N_secuencias,Long_media,Long_std,Long_min,Long_max,GC_medio,GC_std
GYPSY,25117,6044.49,2804.36,103,19982,45.88,7.42
CR1,25095,3073.23,1318.57,500,5999,43.7,7.46
ERV,13871,1978.12,2644.58,100,18951,48.71,6.19
COPIA,12873,5100.74,1817.05,101,19185,41.63,6.02
TC1MARINER,12376,1319.46,816.06,100,9835,41.06,5.27
HAT,12183,1571.97,1448.71,100,9903,41.54,8.63
L1,10603,3521.01,1802.92,500,6000,41.16,7.11
RTE,6091,2946.95,1252.16,500,5994,43.81,7.13
TIR,4473,932.32,1377.48,100,9967,40.33,9.15
BELPAO,4409,6623.88,1914.04,173,18849,43.85,5.38
I,4318,3934.37,1627.12,504,5997,42.01,7.65
LINE,3267,2948.14,1237.41,501,5985,42.8,6.96
DIRS,3255,5099.24,1254.08,109,6998,51.22,6.29
HELITRON,3154,3851.02,3314.79,100,14996,39.79,10.84
PIFHARBINGER,2932,1882.24,1891.05,100,9809,43.1,9.17
R1,2696,3997.24,1737.48,512,5992,48.59,6.44
MULE,2276,2941.64,2400.91,113,9997,42.09,10.36
TRNA,2066,240.84,85.36,83,498,53.47,5.69
CACTA,1747,4852.48,3579.15,104,19429,37.41,6.55
LARD,1651,6369.47,2452.16,2511,14606,38.11,8.07
LTR,1647,1258.99,1930.12,102,18013,46.04,7.54
PLE,1325,3066.39,1643.2,117,8889,41.14,7.74
SINE,1162,255.27,91.99,69,500,49.88,6.54
ALU,786,279.14,64.52,98,461,57.08,2.11
PIGGYBAC,768,1843.44,1477.66,106,9998,38.37,5.75
KOLOBOK,743,2653.69,2222.17,102,9955,37.54,5.19
ACADEM-1,564,4136.74,2369.04,103,9769,41.84,5.75
P,501,2791.3,2122.41,103,9968,38.06,8.84
MERLIN,205,1046.27,1045.08,100,9132,34.43,7.63
CRYPTON,139,541.39,703.06,108,3185,44.11,3.8
