species,num_sequences,num_families,num_superfamilies,num_orders,families,superfamilies,orders,length_min,length_max,length_mean,length_median,gc_mean,gc_median,accession,assembly_name,gc_percent,n50,source,organism_type,max_copies_calculated,min_copies_calculated
Oryza sativa,2824,14,5,2,"BELPAO,CACTA,COPIA,GYPSY,HAT,HELITRON,L1,LTR,MULE,P,PIFHARBINGER,TC1MARINER,TIR,TRNA","HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",100,19587,2787.6395184135977,1611,46.27940298347379,44.72573839662447,GCF_034140825.1,AGIS1.0,43.5,31111469,refseq,otro,6,5
Aedes aegypti,1953,20,6,2,"BELPAO,CACTA,COPIA,CR1,GYPSY,HAT,HELITRON,I,KOLOBOK,L1,MULE,P,PIFHARBINGER,PIGGYBAC,PLE,R1,RTE,TC1MARINER,TIR,TRNA","HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",105,12821,5793.054275473631,5795,43.9079186832959,44.914120008922595,GCF_002204515.2,AaegL5.0,38.0,11758062,refseq,animal,4,3
Xenopus laevis,1842,16,6,2,"BELPAO,COPIA,CR1,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LTR,PIFHARBINGER,PIGGYBAC,PLE,TC1MARINER,TIR","DIRS,HELITRON,LINE,LTR,PLE,TIR","CLASSI,CLASSII",132,13399,3512.026058631922,4241,45.9206706250283,45.44781643227239,GCF_017654675.1,Xenopus_laevis_v10.1,39.5,22451507,refseq,animal,8,6
Malus domestica,1531,16,5,2,"CACTA,COPIA,ERV,GYPSY,HAT,HELITRON,L1,LARD,LINE,LTR,MULE,P,PIFHARBINGER,RTE,SINE,TIR","HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",112,13995,4172.767472240365,4826,39.93540109634996,40.07807417046194,GCF_042453785.1,GDT2T_hap1,38.0,37717778,refseq,otro,8,7
Zea mays,1383,13,5,2,"CACTA,COPIA,GYPSY,HAT,HELITRON,L1,LTR,MULE,PIFHARBINGER,RTE,TC1MARINER,TIR,TRNA","HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",101,18438,4846.981200289227,4816,46.85509750242777,45.77640946700019,GCF_902167145.1,Zm-B73-REFERENCE-NAM-5.0,47.0,47037903,refseq,planta,8,6
Danio rerio,1336,26,8,2,"ACADEM-1,BELPAO,CACTA,COPIA,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,I,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,P,PIFHARBINGER,PIGGYBAC,PLE,RTE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",132,13972,3414.312125748503,2445,39.94625971476176,39.43161634103019,GCF_049306965.1,GRCz12tu,37.0,59305174,refseq,animal,12,9
Callithrix jacchus,1294,22,8,2,"ALU,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",104,9043,1178.0247295208655,599,47.26245616982322,47.81553398058252,GCF_011100555.1,mCalJa1.2.pat.X,41.0,13222669,refseq,otro,36,29
Colobus angolensis,1147,22,8,2,"ALU,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",98,9043,1468.7881429816914,657,46.845075529147124,46.69379450661241,GCF_000951035.1,Cang.pa_1.0,41.0,38363,refseq,animal,32,26
Nicotiana attenuata,1147,14,5,2,"CACTA,COPIA,ERV,GYPSY,HAT,HELITRON,L1,LARD,LTR,MULE,PIFHARBINGER,RTE,SINE,TIR","HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",124,18526,5144.414995640802,5140,39.84468404864298,39.77184841453983,GCF_001879085.1,NIATTr2,40.0,64201,refseq,otro,9,7
Chlorocebus sabaeus,1128,22,8,2,"ALU,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",98,9043,1448.8882978723404,654,46.76046081365177,46.608315098468275,N/A,N/A,,,failed,animal,33,27
Sitophilus oryzae,1095,18,4,2,"ACADEM-1,BELPAO,CACTA,COPIA,CR1,GYPSY,HAT,HELITRON,I,LINE,MULE,P,PIFHARBINGER,PIGGYBAC,R1,RTE,TC1MARINER,TIR","HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",231,15959,2803.9497716894975,2026,36.416648268459625,35.815804434337686,GCF_002938485.1,Soryzae_2.0,32.5,1039787,refseq,animal,17,14
Geotrypetes seraphini,1084,11,4,2,"CACTA,CR1,DIRS,ERV,GYPSY,HAT,L1,LARD,LINE,RTE,TC1MARINER","DIRS,LINE,LTR,TIR","CLASSI,CLASSII",448,10919,4125.80442804428,4180,44.47397505523358,46.366241208648084,GCF_902459505.1,aGeoSer1.1,43.0,20656571,refseq,otro,12,10
Anastrepha obliqua,984,18,4,2,"BELPAO,CACTA,COPIA,CR1,GYPSY,HAT,HELITRON,I,LINE,LTR,MULE,P,PIFHARBINGER,PIGGYBAC,R1,RTE,TC1MARINER,TIR","HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",214,12210,3739.2865853658536,4157,42.6501018261835,43.4748427672956,N/A,N/A,,,failed,animal,14,12
Locusta migratoria,952,24,6,2,"ACADEM-1,BELPAO,CACTA,COPIA,CR1,GYPSY,HAT,HELITRON,I,KOLOBOK,L1,LINE,LTR,MULE,P,PIFHARBINGER,PIGGYBAC,PLE,R1,RTE,SINE,TC1MARINER,TIR,TRNA","HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",69,13824,2924.1344537815125,2618,42.02456590606374,41.12709832134293,N/A,N/A,,,failed,animal,19,16
